label,VV_mean,Inc_mean,NDVI_median
142,0.0599,32.5852999999999,23.3834
691,0.0806,32.5852999999999,32.4467
1438,0.1023,32.5852999999999,39.68189999999991
725,0.054,32.5852999999999,23.0428999999999
336,0.0721,32.5852999999999,28.8657
1858,0.0616,32.5852999999999,26.9902
3319,0.0984,32.5852999999999,35.3614
5400,0.0811,32.5852999999999,29.8243
4973,0.0724,32.5852999999999,24.7212999999999
3668,0.0578,32.5852999999999,22.6946
4778,0.0569,32.5852999999999,23.954
3683,0.0851,32.5852999999999,29.5618
5062,0.0501,32.5852999999999,25.1253999999999
7418,0.071,32.5852999999999,27.0324999999999
2980,0.0491,32.5852999999999,23.0055
7006,0.0595,32.5852999999999,22.8323
6359,0.0552,32.5852999999999,23.6282
6118,0.0787,32.5852999999999,28.2273
7274,0.0775,32.5852999999999,32.8530999999999
9219,0.0574,32.5852999999999,20.8904
6836,0.0528,32.5852999999999,25.3063
6877,0.1031,32.5852999999999,38.6848
6985,0.0525,32.5852999999999,19.9771
6094,0.0583,32.5852999999999,23.6098
5603,0.0678,32.5852999999999,26.9618
8268,0.078,32.5852999999999,33.3051
8766,0.0766,32.5852999999999,28.5346
8996,0.0595,32.5852999999999,24.431
7563,0.0564,32.5852999999999,20.9640999999999
9052,0.0703,32.5852999999999,22.2668
8927,0.0579,32.5852999999999,25.387
8713,0.0554,32.5852999999999,24.4095
9961,0.0583,32.5852999999999,24.1041999999999
10023,0.0684,32.5852999999999,26.3378
11142,0.0544,32.5852999999999,19.9019
8940,0.0425,32.5852999999999,23.1770999999999
9315,0.054,32.5852999999999,26.1281
9287,0.0529,32.5852999999999,23.9897999999999
9733,0.0608,32.5852999999999,25.2472999999999
11215,0.0732,32.5852999999999,25.4246
11651,0.1224,32.5852999999999,27.2154999999999
12264,0.065,32.5852999999999,23.3776
11359,0.0573,32.5852999999999,26.4146
12657,0.0592,32.5852999999999,23.0843999999999
8972,0.0678,32.5852999999999,25.8795
11578,0.0501,32.5852999999999,23.5542
11056,0.0619,32.5852999999999,22.012
13435,0.0508,32.5852999999999,18.788499999999896
11970,0.0668,32.5852999999999,23.3888
12463,0.0611,32.5852999999999,20.4177
15598,0.0379,32.5852999999999,21.4522
13984,0.0469,32.5852999999999,18.163399999999896
14600,0.0617,32.5852999999999,25.0488
14398,0.0627,32.5852999999999,25.4482
14510,0.0737,32.5852999999999,20.6565
13956,0.0604,32.5852999999999,18.9816
13470,0.0552,32.5852999999999,22.7197
16123,0.0736,32.5852999999999,23.0257
14364,0.0483,32.5852999999999,20.4538
15258,0.0444,32.5852999999999,21.7329
18653,0.0533,32.5852999999999,27.3046
17449,0.0621,32.5852999999999,20.3822
16930,0.046,32.5852999999999,23.1171
18446,0.0566,32.5852999999999,25.3884
18042,0.04,32.5852999999999,20.5372999999999
16346,0.0398,32.5852999999999,20.6805999999999
18179,0.0548,32.5852999999999,18.21
16140,0.0503,32.5852999999999,20.6274
19191,0.0746,32.5852999999999,22.0572
20268,0.0621,32.5852999999999,19.9858
19586,0.051,32.5852999999999,23.2169999999999
19694,0.065,32.5852999999999,20.5758
20669,0.0407,32.5852999999999,21.687
20534,0.0683,32.5852999999999,19.3665999999999
18269,0.0533,32.5852999999999,21.9197999999999
18780,0.0411,32.5852999999999,19.2256
22162,0.039,32.5852999999999,20.753
22571,0.0837,32.5852999999999,24.8274
22552,0.0476,32.5852999999999,23.2136999999999
19560,0.0662,32.5852999999999,26.9454999999999
19790,0.0742,32.5852999999999,23.6244
23715,0.1042,32.5852999999999,35.6997
23346,0.0713,32.5852999999999,21.2474999999999
24074,0.0801,32.5852999999999,30.1983999999999
24244,0.0561,32.5852999999999,21.7879
26307,0.0554,32.5852999999999,23.0735999999999
25012,0.0607,32.5852999999999,24.9204
27465,0.0671,32.5852999999999,21.379899999999896
28571,0.068,32.5852999999999,21.1661
