,mean,std,median
0,9.22,3.39,8.0
0,8.3,3.3,8.0
0,9.09,3.56,8.0
0,12.42,3.41,12.0
0,-984.81,119.34,-999.0
0,25.69,1.65,26.0
0,-897.39,306.25,-999.0
0,-245.72,451.44,24.0
0,-18.06,204.45,25.0
0,25.13,2.28,26.0
0,23.55,2.35,24.0
0,17.35,4.14,17.0
0,10.22,3.98,9.0
0,8.63,3.66,8.0
0,10.62,4.28,10.0
0,13.94,4.43,13.0
0,15.08,3.51,15.0
0,25.33,1.49,26.0
0,-104.72,340.97,26.0
0,22.19,3.39,23.0
0,-621.63,493.36,-999.0
0,23.67,3.54,25.0
0,16.84,5.08,17.0
0,10.1,4.64,9.0
0,8.21,3.67,7.0
0,7.15,2.97,6.0
0,10.5,4.17,10.0
0,11.18,4.13,10.0
0,21.29,2.53,21.0
0,22.19,2.48,22.0
0,7.83,97.58,17.0
0,0.49,155.61,25.0
0,-180.96,411.41,26.0
0,23.98,2.43,24.0
0,17.9,4.1,18.0
0,10.96,4.31,10.0
0,8.21,3.52,7.0
0,6.87,2.87,6.0
0,7.49,3.74,7.0
