ID_PARCEL,M_VV_2505mean,M_Inc_2505mean,M_NDVI_2505mean
1,0.088873544826426,33.312160214511,34.68171377743
2,0.10005509451009,0,65.511140120698
3,0.07422324436273,31.058022902316,59.624442926189
4,0.10118712453343,32.819255957857,67.682036874375
5,0.070327635046165,33.281860039669,40.425246076764
6,0.11326612492531,33.310793591642,60.999379332717
7,0.076187502903243,33.296784860117,36.777629039906
8,0.098327175293067,33.351885286096,29.474731157904
9,0.068449827811808,33.34665468601,57.269432193237
10,0.087357169587393,33.251323738877,66.609924511034
11,0.098464707684035,1.8280565618924,72.860862132652
12,0.093976048844796,33.272169617684,61.21611678831
13,0.12449529977902,33.288464408251,65.214257246293
14,,33.363013176878,
15,0.078194555572488,33.299005375826,47.918923646706
16,0.095774257792828,33.308018783353,54.248659666847
17,0.13938677479768,33.230867743046,74.483500512798
18,0.09023827323894,33.347070791426,63.45940560668
19,0.10771053614984,33.33470392084,37.637250310308
20,0.080995206610458,33.297616515779,43.242936245481
21,0.085277846703927,33.281158551067,37.88628216179
22,0.11265556487833,33.335064318473,71.538581137986
23,0.076078065722317,32.884290910804,70.008723670849
24,0.091406029237745,31.048731311162,70.366619425235
25,0.080997148845345,33.328463470459,63.037039539131
26,0.090757248550071,33.29766129328,59.75898527204
27,0.097915969425108,33.316223761615,58.643003083945
28,0.08994917597145,33.274320927841,63.834009147329
29,0.077940122762678,33.33071748926,71.895763782186
30,0.077397737243714,33.322342285743,33.635820396393
31,0.075920411861165,33.294213328801,31.939098530272
32,0.093901598668644,33.284825472765,40.322900516886
33,0.085913690781101,29.75577104201,35.980553765812
34,0.08891305871559,33.328612209706,58.492938561873
35,0.08124649774247,31.167235717033,62.95263103374
36,0.10989945406533,33.308663256028,70.378625056323
37,0.071839689862944,33.282763850304,24.203676323737
38,0.084644169330511,32.321129282429,30.650435761941
39,0.082289779996095,33.323754119873,61.071940579622
40,0.092168144340066,33.327204639197,29.745210687201
41,0.10501684373264,33.309845717912,61.779366385077
42,0.11178371438352,32.965470470449,71.430083925762
43,0.085482531415227,33.301513946973,45.024119716424
44,0.098759698834123,33.294597431765,64.965818757464
45,0.09466008293097,32.427626405,53.008619249394
46,0.11431202697209,33.304588391231,62.774168528043
47,0.089420230284173,0.17375705784223,53.080365178149
48,0.082188991094498,33.138875130831,32.992969697224
49,0.097947951158663,0.36126807903065,55.488436766188
